Show_ID,Title,Genre,Release_Year,Rating,Duration,Country,Date_Added,Director,Cast,Language,Production_Type,IMDB_Score,Number_of_Episodes,Tags,User_Engagement,Award_Winning,Budget,Release_Month
s0017,Police try,Crime,2023,PG-13,1 Season,France,2018-08-27,Kayla Jackson,"Mrs. Nicole Wolfe, Kathleen Smith, Nicole Klein",French,Movie,7.2,,"action-packed, dark comedy",288267,1,4401697,5
s0018,Watch see order,Drama,2001,TV-MA,3 Seasons,India,2015-06-04,Ashley Henderson,"Barbara Mayer, Mr. Sean Donaldson, Miss Tammy Miller",Spanish,Movie,5,,"based on true story, romance",36757,1,14318878,6
s0019,Soldier for man,Sci-Fi,2004,TV-PG,120 min,India,2016-12-13,Natalie Miller,"Deborah Patel, Joshua Caldwell, Hannah Ward",German,TV Show,8.4,10,"thriller, family",725419,0,17427075,3
s0020,Magazine truth account,Crime,2021,TV-PG,120 min,United Kingdom,2018-06-13,Angela Newton,"Dominic Buchanan, Barbara Mayer, Michael Evans",Hindi,Movie,4.2,,"crime, teen drama",824288,0,4611764,12
s0021,Three notice,Action,2014,TV-MA,4 Seasons,Germany,2019-06-24,Michelle Buchanan,"Jacqueline Sanchez, Robert Schmidt, Sabrina Frank",Korean,TV Show,4.3,19,"teen drama, sci-fi",476241,0,13429132,11
s0022,Effect person,Comedy,2021,R,120 min,United States,2022-01-22,Nicole Ramos,"Brittany Mayo, Brian Taylor, Timothy Matthews",Korean,TV Show,7.7,9,"crime, action-packed",584978,1,15512139,7
s0023,Beyond tonight,Crime,2008,PG-13,90 min,France,2020-11-11,Joseph Barnett,"Nancy Clayton, Dillon Adams, Barbara Sanchez",French,TV Show,6.6,17,"romance, based on true story",372293,1,15571947,12
s0024,Case seek rest too,Comedy,2002,R,90 min,United Kingdom,2016-10-21,Laurie Johnson,"Daniel Donovan, Michele Logan, Mrs. Margaret Dixon DVM",Spanish,Movie,4.3,,"sci-fi, dark comedy",734805,1,1091211,6
s0025,Option near hundred,Thriller,2000,PG-13,4 Seasons,India,2015-05-17,Maurice Ramos,"Jessica Bryant, Matthew Fleming, Teresa Stevens",Spanish,Movie,5.2,,"sci-fi, teen drama",214525,0,19422191,11
s0026,One store,Drama,2008,TV-PG,2 Seasons,France,2021-07-18,Marcus Gutierrez,"Veronica Johnson, Michael Wilkerson, Amy Lewis",German,TV Show,7.7,14,"family, thriller",521954,1,2802201,3
s0027,Leader hot,Horror,2015,TV-14,4 Seasons,France,2024-03-12,Carl Carpenter,"Megan Sellers, Amanda Wallace, Brittany Mayo",French,TV Show,9,2,"teen drama, dark comedy",674002,0,8421908,10
s0028,Its,Sci-Fi,2001,R,90 min,France,2017-05-05,Garrett Ryan,"Michael West, Andrea Lopez, Sarah Dixon",French,Movie,8.6,,"crime, dark comedy",120731,0,14310687,11
s0029,Indeed,Documentary,2000,TV-14,120 min,India,2020-04-20,Timothy Martin,"Robert Cortez, Kimberly Williams, Randall Clark",English,Movie,4.1,,"based on true story, teen drama",441479,0,11094993,9
s0030,Training financial,Thriller,2007,PG-13,2 Seasons,United Kingdom,2020-12-10,Martha White,"Alexander Hicks, Michael Salazar, Taylor Jensen MD",Hindi,Movie,8.7,,"family, thriller",154591,1,5765788,2
s0031,Break tree,Sci-Fi,2001,TV-MA,4 Seasons,United States,2020-10-19,Tracey Walsh,"Evan Montes, Amber Humphrey, Larry Jackson",Hindi,Movie,8.3,,"thriller, based on true story",829203,0,5339348,11
s0032,Scene sometimes,Crime,2006,PG-13,3 Seasons,Spain,2021-06-09,Laura Stark,"John Knight, Travis Thompson, Mitchell Morrison",German,Movie,8.2,,"teen drama, sci-fi",21346,0,19159074,1
s0033,Check particularly,Documentary,2016,TV-14,90 min,United States,2018-07-12,Ernest Chang,"Benjamin Horton DDS, Erin Peters, Joseph Mccoy",Korean,Movie,5.1,,"action-packed, crime",676869,1,12151527,9
s0034,Hot significant color,Crime,2017,PG-13,2 Seasons,Germany,2018-01-22,Cindy Tate,"Ryan Johnson, Makayla Oneill, Victor Williams",Japanese,TV Show,5.1,9,"sci-fi, teen drama",216048,1,10906607,12
s0035,Far really,Horror,2000,TV-14,1 Season,United Kingdom,2015-04-23,Shannon Fuentes,"Marcia Hill, Katherine Bowen, Kevin Gonzales",Korean,TV Show,9.3,11,"romance, thriller",977724,1,11974298,9
s0036,Prevent picture,Thriller,2001,R,90 min,Spain,2021-03-24,Kenneth Rose,"Roberto Rodriguez, Ian Garza, Matthew Nelson",Japanese,TV Show,8.1,8,"thriller, family",610090,0,4323928,12
s0037,College firm,Action,2007,TV-MA,1 Season,Spain,2024-03-07,Suzanne Figueroa,"Mark Thompson, Melissa Watkins, April Robertson",German,TV Show,6.6,1,"crime, dark comedy",210119,1,13123460,2
s0038,Girl most,Horror,2017,TV-MA,1 Season,Canada,2023-07-26,Alexander Barrera,"Mario Rivera, Nathan Jackson, Ashley Molina",Spanish,Movie,9.1,,"romance, dark comedy",460273,0,11084251,12
s0039,Myself begin huge,Action,2021,PG-13,120 min,France,2023-01-23,Timothy Martin,"Cindy Gonzalez, Christopher Johnston, Catherine Foley",English,TV Show,7.3,12,"dark comedy, teen drama",80668,1,15255274,1
s0040,Class possible once,Documentary,2015,TV-MA,2 Seasons,United Kingdom,2023-02-27,Tyler Norton,"Tiffany Taylor, Kathy Faulkner, Miss Tammy Miller",Korean,TV Show,8,15,"action-packed, crime",548085,0,10619600,10
s0041,Page name operation,Documentary,2018,TV-MA,2 Seasons,United Kingdom,2022-08-20,Matthew Holmes,"Kathleen Smith, Taylor Jensen MD, Kara Ortiz",Japanese,Movie,9.4,,"dark comedy, family",670368,0,9450876,4
s0042,Education general,Sci-Fi,2010,TV-MA,2 Seasons,Canada,2024-02-09,Garrett Ryan,"Paul Clark, Michael Salazar, Christopher Schneider",German,Movie,7.2,,"based on true story, dark comedy",822596,0,9563316,7
s0043,Executive expect marriage,Comedy,2006,PG-13,4 Seasons,United States,2022-03-25,Elijah Powell,"David Hall, Jessica Davis, Daniel Hudson",Spanish,TV Show,4.2,20,"dark comedy, family",399062,0,10492476,7
s0044,Eye make kitchen,Horror,2005,TV-PG,4 Seasons,Germany,2023-05-12,Jennifer Price,"Elizabeth Watson, Catherine Best, Scott Rodriguez",Korean,Movie,7.4,,"sci-fi, action-packed",202169,1,4476449,5
s0045,Act ready,Horror,2023,TV-MA,3 Seasons,Spain,2016-01-28,Anthony Martin,"Benjamin Horton DDS, Sarah Brown, Danny Jackson",English,Movie,5.3,,"crime, romance",569026,0,3516169,2
s0046,Dream process group,Documentary,2006,R,120 min,Spain,2023-01-06,Cynthia Walker,"Samantha Smith, Michele Lawrence, Ryan Barr",German,Movie,9,,"sci-fi, action-packed",614238,1,18651926,1
s0047,Home over,Thriller,2012,TV-PG,120 min,Germany,2023-12-31,Laura Stark,"Michele Logan, April Kane, Amy Schneider",Japanese,Movie,4.4,,"sci-fi, family",386930,0,3609354,10
s0048,Two theory sport,Drama,2018,PG-13,120 min,United Kingdom,2015-12-28,Donna White,"Amy Moore, Danielle Wiggins, Sabrina Frank",French,TV Show,4.3,19,"family, thriller",300091,0,18679084,8
s0049,Follow hard,Drama,2007,TV-14,3 Seasons,Spain,2022-10-26,Clayton Morrow,"Michelle Hodges, Greg Rose, Miss Karen Young PhD",Korean,Movie,4.5,,"family, crime",167671,0,1138508,7
s0050,Share enter close,Sci-Fi,2010,PG-13,4 Seasons,Germany,2022-12-08,Kimberly Burnett,"Alicia Solomon, Kathleen Smith, Christopher Glenn",German,TV Show,5.6,10,"thriller, action-packed",307610,0,9130699,8
s0051,Act project form citizen,Comedy,2007,PG-13,90 min,France,2023-11-28,Angela Bright,"Margaret Heath, Cody Ramirez PhD, Kathleen Smith",English,TV Show,8.5,8,"teen drama, sci-fi",803056,0,14218617,4
s0052,Scene garden bag,Drama,2016,TV-MA,3 Seasons,France,2019-11-06,Patrick Merritt,"Mariah Rodriguez, Phyllis Gonzalez, Hannah Ward",French,Movie,7,,"thriller, based on true story",451305,0,5823159,12
s0053,Through executive often,Drama,2017,PG-13,4 Seasons,Germany,2020-10-21,Jonathan Alvarado,"Linda Miller, Douglas Martinez, Claire Taylor",Spanish,Movie,8,,"teen drama, crime",430483,0,19288868,6
s0054,Enter painting,Comedy,2009,R,120 min,Germany,2020-02-16,Dustin Ramirez,"Joseph Mccoy, Samuel Hernandez, Brandon Harris",French,Movie,8.3,,"action-packed, thriller",912793,0,5999015,3
s0055,Sing others,Documentary,2004,R,1 Season,Germany,2021-08-04,Melanie Ortega,"Cheryl Jennings, Edgar Thomas, Rose Mitchell",Spanish,TV Show,8.5,15,"romance, action-packed",206258,1,5085289,10
s0056,Girl government feel,Drama,2020,TV-14,4 Seasons,Canada,2022-11-30,Molly Hill,"Miss Miranda Morse, Sean Williams, Ariel Livingston",German,Movie,4.9,,"based on true story, dark comedy",935466,0,4357936,6
s0057,Various own son,Horror,2018,R,3 Seasons,Spain,2015-05-11,Mary Hogan,"Julie Bradley, David Bradley, Timothy Matthews",German,TV Show,5.3,4,"romance, crime",796105,1,14791157,3
s0058,Think focus spring,Documentary,2016,TV-14,120 min,Canada,2021-01-03,Anthony Robertson,"Daryl Reeves, Andrew Wood, Spencer Leblanc",German,TV Show,4.3,19,"action-packed, thriller",184966,0,19128697,1
s0059,Affect once health,Documentary,2018,R,2 Seasons,United Kingdom,2024-04-05,Eric Guerrero,"Mr. David Robinson, John Watson, Amber Humphrey",German,Movie,8.1,,"teen drama, romance",981642,1,11025297,9
s0060,Result visit wear,Documentary,2012,TV-14,2 Seasons,France,2020-04-02,Edward Norris,"Dale Brown, Mandy Gonzalez, Mr. David Hall",English,Movie,6.3,,"thriller, action-packed",123932,0,6615969,1
s0061,Admit necessary his,Horror,2012,TV-14,2 Seasons,Spain,2019-04-02,Christopher Campos,"Jamie Carrillo, Michael King, Amy Schneider",French,TV Show,5.3,19,"based on true story, dark comedy",882076,0,8828993,10
s0062,Girl particular,Comedy,2013,R,120 min,France,2020-04-29,Angela Bright,"Scott Marshall, Kathy Faulkner, Andrew Compton",English,Movie,9.1,,"teen drama, dark comedy",625916,1,4613361,8
s0063,All to,Crime,2008,TV-PG,4 Seasons,Germany,2024-03-01,Suzanne Figueroa,"Evelyn Spence, Nathan Lewis, Edgar Thomas",Korean,TV Show,7.7,10,"family, dark comedy",403364,1,786446,3
s0064,Sit impact they,Comedy,2014,PG-13,1 Season,France,2025-01-02,Susan Hunt,"Nathan Lewis, Rachel Gardner, Michael Flores",Japanese,Movie,4.7,,"action-packed, crime",523152,1,4501663,6
s0065,Ahead nearly process activity,Thriller,2017,PG-13,1 Season,Canada,2025-02-07,Heather Ward,"Mary Dixon, Monica Davis, Lori Gregory",French,Movie,4.4,,"crime, dark comedy",765774,1,14548974,4
s0066,Resource democratic run,Documentary,2013,PG-13,120 min,United States,2024-09-11,Charles Brown,"James Freeman, George Hickman, Joseph Tanner",Japanese,Movie,4.2,,"crime, sci-fi",849775,0,7822615,2
s0067,Close,Action,2009,TV-MA,1 Season,United Kingdom,2022-09-08,Robert Rodriguez,"Danielle Wiggins, Jessica Thomas, Robert Schmidt",French,TV Show,7.4,8,"thriller, teen drama",416900,0,18707637,12
s0068,White measure per,Thriller,2015,R,2 Seasons,United Kingdom,2023-12-15,Emily Simmons,"David Taylor, Stephen Bradley, Michelle Hodges",Hindi,TV Show,5.9,10,"sci-fi, teen drama",854320,1,4264049,2
s0069,Worker possible million,Action,2012,R,3 Seasons,Spain,2024-01-11,Jennifer Gardner,"Christian Alvarado, Chelsea Mann, Michelle Hernandez",Japanese,Movie,8.4,,"family, teen drama",963351,0,18989581,11
s0070,Choice father security,Thriller,2001,TV-MA,2 Seasons,Spain,2022-07-23,Robert Fitzpatrick,"Jason Sanchez, Mariah Warren, Sydney Butler",English,TV Show,7.2,11,"romance, thriller",264769,0,9545484,10
s0071,Strong likely news father,Sci-Fi,2018,TV-14,2 Seasons,Germany,2016-05-15,Edward Norris,"Karen Washington, Catherine Best, Benjamin Long",Hindi,TV Show,4.5,11,"based on true story, sci-fi",719713,1,7434776,10
s0072,Process statement generation beautiful,Comedy,2023,TV-MA,120 min,United States,2022-04-02,Anthony Martin,"Amanda Wallace, Catherine Best, Keith Allen",German,TV Show,6.7,1,"romance, thriller",595139,1,7259171,4
s0073,Yes military down,Action,2007,TV-PG,4 Seasons,France,2022-07-18,Renee Young,"Dominic Buchanan, Patricia Huang, Katherine Tyler",English,TV Show,9.1,20,"family, crime",850338,1,6444512,11
s0074,Material,Thriller,2023,R,120 min,United Kingdom,2016-01-19,Randall Brown,"Angela Shields, Kayla Underwood, Jordan Perez",English,Movie,4.5,,"dark comedy, crime",226948,1,15888710,2
s0075,Guy,Documentary,2002,TV-PG,2 Seasons,Canada,2017-01-16,Crystal Campbell,"Frank Huber, Melissa Ramos, David Hall",French,TV Show,6.6,9,"dark comedy, thriller",97558,1,1311822,10
s0076,Data garden,Sci-Fi,2005,TV-14,90 min,Spain,2020-07-06,Bethany Miller,"George Howard, Dawn Peterson, Steven Rodriguez DVM",Korean,Movie,5,,"dark comedy, thriller",71219,0,8035041,6
s0077,Hope argue rather,Thriller,2016,TV-PG,1 Season,United States,2015-09-21,Anthony Martin,"Harry Russell, Jacqueline Murray, Amy Moore",English,Movie,8.7,,"teen drama, crime",835042,0,1890271,1
s0078,Middle price window,Thriller,2015,TV-14,4 Seasons,France,2021-12-06,Cynthia Potter,"Amy Lewis, Melissa Ramos, Jimmy Watkins",Hindi,Movie,8.7,,"teen drama, romance",986638,0,12353674,3
s0079,Nice likely,Comedy,2013,R,2 Seasons,United Kingdom,2022-04-17,Melanie Rodriguez,"Kiara Lynn, Jonathan Nelson, Michael Salazar",Japanese,Movie,7.6,,"action-packed, thriller",32012,0,16946884,12
s0080,Simply right nice,Comedy,2008,PG-13,3 Seasons,Canada,2023-07-17,Russell Hill,"Ryan Baker, Stephen Owens, Lori Gregory",English,TV Show,8.7,1,"action-packed, dark comedy",55567,0,6746490,8
s0081,Could add office,Drama,2022,R,3 Seasons,Canada,2024-09-19,Zachary Nelson,"Mary Mcgee, Robert Brooks, Eric Clark",Japanese,Movie,9.3,,"thriller, family",719719,1,13100209,1
s0082,More,Drama,2007,TV-14,4 Seasons,France,2024-11-15,Shannon Fuentes,"Mario Williams, Vickie Roberts, Karen Washington",Korean,TV Show,6.5,11,"based on true story, crime",77444,1,3413386,1
s0083,Me spring,Sci-Fi,2008,R,3 Seasons,France,2021-12-25,Heather Ward,"Michael Washington, Bobby Cortez, Mary Bass",Korean,Movie,4.8,,"based on true story, sci-fi",16517,1,7734383,5
s0084,Success perform,Thriller,2008,TV-14,1 Season,Spain,2019-04-16,Jennifer Cameron,"Dana Ortiz, Mr. David Robinson, Samantha Morrison",Hindi,Movie,5.4,,"romance, based on true story",620602,1,14244515,6
s0085,Plan to,Action,2015,R,3 Seasons,Canada,2023-08-15,Aaron Wright,"Christina Richardson, Beth Nelson, Dominic Buchanan",French,Movie,8.9,,"teen drama, romance",878442,1,10830107,7
s0086,Maintain lot chair,Comedy,2011,TV-MA,1 Season,India,2015-06-18,Alison Harper,"Ashley Ramirez, Roberto Rodriguez, Kevin Flowers",Korean,TV Show,4.3,8,"action-packed, sci-fi",191715,1,1935008,6
s0087,Decision million,Drama,2017,TV-PG,2 Seasons,India,2016-05-09,Shannon Fuentes,"Steven Atkins, Vickie Roberts, Randall Clark",German,TV Show,8.9,9,"crime, sci-fi",574370,1,3397145,10
s0088,Authority hard,Documentary,2011,TV-PG,3 Seasons,India,2021-01-28,Michelle Buchanan,"Monica Davis, Donald Gutierrez, Misty Sparks",Hindi,Movie,7.1,,"based on true story, thriller",379678,0,1305225,8
s0089,Drug learn,Crime,2007,R,2 Seasons,Spain,2019-10-12,Judy Francis,"Jessica Michael, Sierra Ruiz, Joshua Caldwell",Japanese,TV Show,6.9,3,"thriller, action-packed",142217,0,11068465,2
s0090,Allow great free together,Sci-Fi,2014,TV-14,2 Seasons,Canada,2022-04-19,James Hill,"Theodore Harmon, Eric Gregory, Margaret Shelton",Hindi,TV Show,4.8,15,"based on true story, dark comedy",987773,1,4388333,12
s0091,Entire,Thriller,2014,TV-14,3 Seasons,Canada,2019-08-18,Ashley Henderson,"Ryan Baker, Amy Beck, Melissa Hooper",Hindi,Movie,4.9,,"teen drama, thriller",483848,0,16468337,2
s0092,Finally radio bit,Horror,2014,R,2 Seasons,Canada,2017-05-17,Crystal Campbell,"Brent Smith, Michael Turner, Katie Santos",Korean,TV Show,8.7,17,"action-packed, dark comedy",250263,0,8910892,11
s0093,Tough his,Action,2022,TV-MA,4 Seasons,Spain,2018-02-19,Glenn Fisher,"Emily Lopez, Cheryl Jennings, Matthew Nelson",Japanese,TV Show,5.7,10,"teen drama, romance",488388,1,13412627,10
s0094,Food though,Horror,2021,R,3 Seasons,Canada,2016-10-28,Martha White,"Jesus Wilkerson, Scott Wilkerson, Michael Turner",Korean,TV Show,5.1,20,"thriller, crime",804811,0,14914664,10
s0095,One interview,Comedy,2023,TV-PG,1 Season,France,2016-08-03,Maria Rodriguez,"Julie Bradley, Ernest Ho, Michael Evans",Spanish,Movie,4.5,,"family, thriller",837956,1,9271314,4
s0096,Interview stuff meet,Drama,2022,R,1 Season,India,2017-06-27,Jesse Kim,"Danielle Mcintyre, Matthew Brooks, Katrina Conley",French,TV Show,7.6,1,"based on true story, action-packed",557212,0,18609002,9
s0097,Approach toward,Comedy,2018,TV-14,2 Seasons,United States,2023-11-19,Tiffany Stuart,"Timothy Bruce, Michelle Hernandez, Valerie Lawson",French,TV Show,5.9,14,"thriller, based on true story",926745,1,4127695,2
s0098,Message resource,Crime,2019,PG-13,4 Seasons,Germany,2020-03-15,Robert Monroe,"Scott Marshall, Zachary Fleming, Tristan Sims",Japanese,Movie,9.2,,"action-packed, family",136401,0,17730816,11
s0099,Anyone drive shake,Thriller,2021,TV-14,120 min,France,2023-10-07,Alison Harper,"Tyler Brooks, Jessica Davis, Andrea Smith",French,Movie,7,,"dark comedy, based on true story",728043,0,12519809,2
s0100,Sometimes admit structure,Action,2022,PG-13,4 Seasons,Canada,2021-10-19,Sarah Robinson,"Nathan Avila, Ian Mathews, Debra Carroll",Hindi,Movie,6.8,,"family, dark comedy",691704,0,11281298,12
s0101,Security public,Comedy,2013,PG-13,4 Seasons,France,2019-02-24,Casey Hernandez,"Jesus Wilkerson, Karen Washington, David Hall",French,Movie,4.6,,"action-packed, romance",132084,0,9159026,5
s0102,Would,Sci-Fi,2009,TV-MA,2 Seasons,Spain,2018-04-15,Patrick Merritt,"Michelle Hernandez, Anne Parker, Mary Hartman",Japanese,TV Show,5.2,20,"action-packed, crime",871610,1,18787353,5
s0103,Health,Documentary,2016,TV-14,120 min,Germany,2020-05-11,Angela Newton,"Leslie Haley, Melissa Hooper, Michele Lawrence",English,Movie,9.3,,"romance, sci-fi",114983,0,15127737,7
s0104,Reduce hard look,Horror,2005,R,1 Season,Spain,2025-01-03,Tommy Horn,"Kayla Underwood, Sarah Dixon, Danielle Mcintyre",Korean,Movie,9.3,,"thriller, family",234840,1,14583003,4
s0105,Program southern should,Action,2007,PG-13,4 Seasons,Spain,2020-03-01,Ashley Blevins,"Dalton Doyle, Kayla Underwood, Lance Martin",English,Movie,5.8,,"crime, family",594621,1,13107060,3
s0106,Treat education,Action,2012,R,2 Seasons,Spain,2021-05-05,Tiffany Stuart,"William Schmidt, Michael Turner, Seth Cortez",Korean,TV Show,6.3,6,"dark comedy, sci-fi",431857,0,19398721,10
s0107,Area stop,Documentary,2004,TV-14,4 Seasons,United Kingdom,2018-05-11,Tracy Gray,"Marissa Martin, Brandi Oconnell, Julie Bradley",Spanish,TV Show,7.6,10,"family, dark comedy",493643,1,2720282,3
s0108,Each once popular,Sci-Fi,2019,PG-13,4 Seasons,Canada,2019-06-15,Billy Bates,"Franklin Campbell, Margaret Shelton, Lori Gregory",Japanese,Movie,4.7,,"action-packed, teen drama",863487,0,19321724,10
s0109,Available,Comedy,2000,TV-PG,2 Seasons,France,2019-06-23,Renee Young,"Christina Richardson, Matthew Fleming, Dorothy Cunningham",Spanish,Movie,7.3,,"teen drama, sci-fi",850434,0,16818751,3
s0110,Ready management,Thriller,2016,TV-MA,1 Season,Germany,2019-03-08,Diane Summers,"Barry Meadows, David Gray, Jose Zamora",Japanese,Movie,6,,"action-packed, based on true story",752032,0,17112006,9
s0111,Huge head off,Drama,2012,R,120 min,United States,2019-07-04,Mark Wang,"Samantha Smith, Christopher Simmons, Makayla Oneill",German,Movie,7.3,,"family, based on true story",365268,1,5973960,1
s0112,Position unit,Comedy,2017,TV-PG,2 Seasons,India,2016-03-07,Ashley Lang,"Shirley Obrien, Mary Parsons, Lori Gregory",Japanese,Movie,7.5,,"family, sci-fi",356803,1,8253806,5
s0113,Stop easy say,Action,2006,PG-13,120 min,United Kingdom,2020-01-04,Jason Pierce,"Michael Martin, Lori Gregory, Margaret Shelton",English,Movie,4.8,,"romance, action-packed",784135,0,19762798,7
s0114,Protect politics,Drama,2015,R,1 Season,Canada,2021-09-21,Richard Thornton,"Christopher Schneider, Jason Adams, Dana Ortiz",Korean,Movie,4.2,,"dark comedy, action-packed",30193,1,1597486,4
s0115,Contain art manager,Thriller,2022,PG-13,1 Season,Spain,2020-07-14,Shannon Fuentes,"Evelyn Spence, Christopher Smith, Christopher Knox",Spanish,Movie,4,,"dark comedy, thriller",513228,1,1908504,6
s0116,Question born,Comedy,2010,R,1 Season,Spain,2025-03-10,Clayton Morrow,"Bryan Williams, Stephanie Bray, Kelly Williams",French,TV Show,6.5,19,"sci-fi, teen drama",823768,0,4594953,7
s0117,In PM,Thriller,2007,TV-14,4 Seasons,United Kingdom,2018-10-26,Alison Harper,"Doris Pham, Brianna Robinson, Daniel Mcconnell",German,Movie,5.2,,"dark comedy, based on true story",139916,0,19278406,12
s0118,Important oil,Action,2006,R,90 min,Germany,2024-08-28,Matthew Holmes,"Kevin Rogers, Lisa Garcia, Christopher Schneider",Japanese,TV Show,9,14,"dark comedy, family",67849,1,15352715,11
s0119,Such factor book,Comedy,2009,PG-13,1 Season,Canada,2015-12-10,Andrew Lawson,"Alexander Morris, Rhonda Martin, Amy Moore",Korean,Movie,5.6,,"thriller, action-packed",742242,1,10219892,7
s0120,Chair medical,Action,2006,R,4 Seasons,India,2024-09-26,Ashley Lang,"Cheryl Hudson, Misty Sparks, Melissa Hooper",French,TV Show,5.8,10,"dark comedy, family",589986,0,18905721,6
s0121,Owner old sell,Comedy,2016,PG-13,90 min,Canada,2020-08-04,Taylor Singh,"Linda Henderson, Matthew Fleming, Jared Jones",Korean,TV Show,7.4,16,"sci-fi, romance",527255,1,11697326,4
s0122,Financial including culture,Action,2010,TV-PG,1 Season,France,2015-09-18,Emily Simmons,"Jenna Parker, Stephen Bradley, Brandi Oconnell",Korean,Movie,8.9,,"teen drama, sci-fi",937202,0,17241896,11
s0123,Deep establish fire,Horror,2000,TV-14,120 min,Spain,2019-02-11,Chelsea Johnson,"Mario Williams, Samantha Clark, Thomas Hunter",Korean,Movie,9.1,,"action-packed, based on true story",710275,0,17902879,12
s0124,Begin talk include,Sci-Fi,2023,TV-14,1 Season,France,2016-01-29,Mary Hogan,"David Martin, Rose Mitchell, Corey Harding",German,Movie,5.4,,"thriller, family",869561,1,17465349,10
s0125,Artist,Horror,2015,R,4 Seasons,United Kingdom,2021-06-09,Mary Hogan,"Mark Thompson, Dominic Buchanan, Gina Johnson",German,Movie,5.3,,"teen drama, sci-fi",21116,1,15443043,9
s0126,Manage decade,Comedy,2018,TV-MA,1 Season,Germany,2017-09-25,Robert Rodriguez,"Eric Macdonald, Douglas Rocha, Carly Curry",German,TV Show,4.9,13,"family, crime",103884,0,872786,1
s0127,Social third,Drama,2013,TV-MA,3 Seasons,France,2023-06-13,Dustin Ellis,"Erik Sanders, Laura Garcia, Ryan Barr",English,TV Show,5.7,6,"based on true story, crime",24634,0,5268799,5
